Trained Model,Backbone,Train Model ID,Train Altitude,Train Variant,Train Type,Test Dataset ID,Test Dataset Folder,Test Altitude,Test Variant,Image Size,mIoU,Pixel Accuracy,FPS,Pole IoU,Trunk IoU,Vine Row IoU,Pole Precision,Trunk Precision,Vine Row Precision,Pole Recall,Trunk Recall,Vine Row Recall,Pole F1,Trunk F1,Vine Row F1,Best Val Loss,Checkpoint
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,72,vineyard_segmentation_paper-72,39ft,Full Res,2028x1520,0.4983123872615957,0.9553069594211738,4.19935397921818,0.29956592640574004,0.1333010919298606,0.6060763138792957,0.7118908594923345,0.5755789745574383,0.7628326838826118,0.35093442591450547,0.14981635435450558,0.746184402126341,0.45593166548572167,0.23272137899989973,0.752727600720629,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,73,vineyard_segmentation_paper-73,65ft,Full Res,2028x1520,0.2929442108777848,0.9137311123477146,3.9806786948861044,0.17925743319766152,0.008269725144983382,0.07026361739091119,0.613403792010206,0.13278193133310268,0.620307079497655,0.2035597125433377,0.009169491770828592,0.07448102214045534,0.3030636343195592,0.016114897917714633,0.12864187999548293,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,74,vineyard_segmentation_paper-74,100ft,Full Res,2028x1520,0.23820712126574112,0.9339409944285639,2.957951472519115,0.018217103761009924,0.0005083391832683789,7.944038499587368e-05,0.34961079715378907,0.02613565650280025,0.0988737435242011,0.018964298372370025,0.000517885547294048,7.953195249793887e-05,0.035779453292466054,0.0010156457814427006,0.00015886534758004857,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,75,vineyard_segmentation_paper-75,39ft,2x2,2028x1520,0.3811598291015298,0.9412194927345483,5.684676741575263,0.15772248323947027,0.049598210197330704,0.3777594032587408,0.7196474689248754,0.4115715753852064,0.777061119694069,0.17747895970931163,0.05397978040636592,0.43266074325180215,0.2654009531572392,0.0935580816351038,0.5347537239113261,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,76,vineyard_segmentation_paper-76,39ft,4x4,2028x1520,0.23768619992015702,0.9149122980099851,5.863846706613615,0.0266557381709438,0.00024001754317776888,0.0013027556071201025,0.5795642386355333,0.04662221891112179,0.5032101586900789,0.027030920480756337,0.0002427610952663754,0.0013033146259837805,0.04876184563470553,0.00047731299185298546,0.002589983709307141,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,77,vineyard_segmentation_paper-77,39ft,6x6,2028x1520,0.2544187142589981,0.9147134487288208,5.863200361661809,0.0014395577428133381,3.811448943897589e-07,7.478501364105618e-07,0.14572490633161037,0.011226611226611225,0.121759211750762,0.0014420953024585409,3.8114504844413805e-07,7.47855420356377e-07,0.002813104188206744,7.622490319390228e-07,1.4956885479894636e-06,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,78,vineyard_segmentation_paper-78,65ft,2x2,2028x1520,0.32821092977040434,0.9245697670929356,5.592968779833314,0.15903118575601743,0.017518946179366383,0.21243081001787073,0.6700540990490628,0.30238075755566657,0.6091675195291826,0.17193153710945716,0.019096686502129215,0.24809102701448782,0.27048223022401285,0.03345994066025046,0.3110861567642976,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,79,vineyard_segmentation_paper-79,65ft,4x4,2028x1520,0.23647122761881972,0.9108896848252227,5.825501419157118,0.02926156558364621,0.0005781665147671095,0.005141749788659524,0.631977641164699,0.06020929657062219,0.5690799326316545,0.030080293475298045,0.0005858639490215059,0.005149939775988964,0.05543234711763683,0.0011489280939188,0.010009061483769866,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,80,vineyard_segmentation_paper-80,65ft,6x6,2028x1520,0.24242307066434463,0.9102093966309078,5.862401109090712,0.006625632311778751,1.5296481145609315e-07,1.367337661288993e-06,0.29890590974420633,0.0015744520030234316,0.1545102196951638,0.006720116817897703,1.5312079359059836e-07,1.367341263468731e-06,0.012587018288902048,3.0592518194093346e-07,2.734538554996075e-06,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,81,vineyard_segmentation_paper-81,100ft,2x2,2028x1520,0.24765321842805285,0.9334456030458451,5.170834228071711,0.03096713135859807,0.008665932867573202,0.01742951868427493,0.2571358400364371,0.08940829359114139,0.6896790752542892,0.03549378761122853,0.009583083536339227,0.017538837557975983,0.05816287094230908,0.016602008615059012,0.033628124738640984,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 72 | resnet101_img2028x1520_20260303_142541,resnet101,72,39ft,Full Res,single_altitude,82,vineyard_segmentation_paper-82,100ft,4x4,2028x1520,0.23764771040031007,0.9331203366682238,5.732136510466885,0.012594834250698957,0.0009552623310089486,0.0038802753125577196,0.2314792426677263,0.018878748940679514,0.584472048323459,0.013200284717335658,0.001151870916469704,0.003884178925909186,0.023918327573325463,0.0018898534710069823,0.007605988624894255,0.11805484692255656,/home/users/jcox/resnets/paper_datasets_results/altitudes_without_augmentations/vineyard_segmentation_paper-72/resnet101_img2028x1520_20260303_142541/resnet101_vineyard_segmentation_paper-72_unet_image_size_2028x1520_batch_size_8.pth
