Trained Model,Backbone,Train Dataset ID,Train Season,Train Variant,Test Dataset ID,Test Dataset Folder,Test Season,Image Size,Eval Mode,Eval Grid,mIoU,Pixel Accuracy,FPS,Pole IoU,Trunk IoU,Vine Row IoU,Pole Precision,Trunk Precision,Vine Row Precision,Pole Recall,Trunk Recall,Vine Row Recall,Pole F1,Trunk F1,Vine Row F1,Best Val Loss,Checkpoint
resnet101 | 1 | resnet101_img2028x1520_20260204_143355,resnet101,1,Aug+Mar+Jul,Full Res,6,vineyard_segmentation_paper-6,August,2028x1520,direct,none,0.42158989063833585,0.9352887610344277,5.719036929872296,0.21365207531454372,0.0665349262159998,0.4739595194147094,0.7177139031851362,0.5886913902853751,0.7996523831480402,0.23472715493630072,0.07114237533864862,0.5491116664232902,0.3447465459527403,0.12269935557763274,0.6410647803581898,0.11735881187699058,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-1/resnet101_img2028x1520_20260204_143355/resnet101_vineyard_segmentation_paper-1_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 1 | resnet101_img2028x1520_20260204_143355,resnet101,1,Aug+Mar+Jul,Full Res,14,vineyard_segmentation_paper-14,July,2028x1520,direct,none,0.4102403867109649,0.9419151867684652,5.906009617612073,0.1477723957185163,0.09632075037064564,0.4562334939130045,0.7892951541505558,0.5559298594306494,0.7973218472075497,0.154846505079818,0.11230186306517922,0.524961614978384,0.25199783620328964,0.17336477562274458,0.62221029733249,0.11735881187699058,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-1/resnet101_img2028x1520_20260204_143355/resnet101_vineyard_segmentation_paper-1_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 1 | resnet101_img2028x1520_20260204_143355,resnet101,1,Aug+Mar+Jul,Full Res,10,vineyard_segmentation_paper-10,March,2028x1520,direct,none,0.3383649273895328,0.9524514092414839,5.873110730621367,0.06716869431810785,0.03983482171642223,0.2933806947129935,0.544217901792364,0.4767928315447624,0.6171982649076092,0.07102236125674603,0.041870827586817295,0.3696088077059038,0.12294893082021834,0.07595825521470853,0.45034598961651934,0.11735881187699058,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-1/resnet101_img2028x1520_20260204_143355/resnet101_vineyard_segmentation_paper-1_unet_image_size_2028x1520_batch_size_8.pth
resnet18 | 1 | resnet18_img1280x960_20260204_152225,resnet18,1,Aug+Mar+Jul,Full Res,6,vineyard_segmentation_paper-6,August,1280x960,direct,none,0.3446560449610684,0.9265570286342076,21.335998868165078,0.07921500175020013,0.0005707573278366599,0.374741683799034,0.5877996370815467,0.017505521225856874,0.8540741337509166,0.08520208675714991,0.0005893917321468154,0.40763916292267777,0.1449210016762142,0.00113556196665562,0.5364651453780114,0.1320002261887897,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-1/resnet18_img1280x960_20260204_152225/resnet18_vineyard_segmentation_paper-1_unet_image_size_1280x960_batch_size_8.pth
resnet18 | 1 | resnet18_img1280x960_20260204_152225,resnet18,1,Aug+Mar+Jul,Full Res,14,vineyard_segmentation_paper-14,July,1280x960,direct,none,0.34127834135613067,0.9354065132141113,22.002044298550167,0.058146858256681457,0.0019944544193275554,0.37094302732492307,0.7185172625389511,0.06463244227702247,0.8546212768788067,0.061090787310933,0.00209500963273428,0.41193452964154864,0.10634405596997358,0.003971307687011237,0.5255992987738738,0.1320002261887897,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-1/resnet18_img1280x960_20260204_152225/resnet18_vineyard_segmentation_paper-1_unet_image_size_1280x960_batch_size_8.pth
resnet18 | 1 | resnet18_img1280x960_20260204_152225,resnet18,1,Aug+Mar+Jul,Full Res,10,vineyard_segmentation_paper-10,March,1280x960,direct,none,0.28172703554895323,0.9479588317871093,21.109124160751282,0.037270499683385076,0.000268079908834732,0.14130809945611483,0.37437356689088847,0.03250200739010221,0.6760345319351362,0.041570509038091216,0.00026959848644920786,0.15544941431752732,0.07023010107853435,0.0005343925330024018,0.23813048538679757,0.1320002261887897,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-1/resnet18_img1280x960_20260204_152225/resnet18_vineyard_segmentation_paper-1_unet_image_size_1280x960_batch_size_8.pth
resnet50 | 1 | resnet50_img2028x1520_20260204_143354,resnet50,1,Aug+Mar+Jul,Full Res,6,vineyard_segmentation_paper-6,August,2028x1520,direct,none,0.42243852748974575,0.9335623203024204,6.674347683606098,0.24791591281808298,0.05540622692723413,0.4559504851190072,0.6928597016204758,0.5430442685470459,0.806707295094726,0.28174138962070294,0.05868583039783152,0.5306659258829687,0.3905666955264454,0.1028316861942339,0.6252640129025043,0.11683098633180965,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-1/resnet50_img2028x1520_20260204_143354/resnet50_vineyard_segmentation_paper-1_unet_image_size_2028x1520_batch_size_8.pth
resnet50 | 1 | resnet50_img2028x1520_20260204_143354,resnet50,1,Aug+Mar+Jul,Full Res,14,vineyard_segmentation_paper-14,July,2028x1520,direct,none,0.4019180544784806,0.937927318324704,6.7601740878359635,0.15317563457455366,0.11299740046503991,0.4049195365046805,0.7804537196409869,0.5020221945666643,0.8019424039297919,0.16224694782658536,0.16168478148020465,0.4565365957879751,0.2591581279171707,0.1933246164330723,0.5733044867455227,0.11683098633180965,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-1/resnet50_img2028x1520_20260204_143354/resnet50_vineyard_segmentation_paper-1_unet_image_size_2028x1520_batch_size_8.pth
resnet50 | 1 | resnet50_img2028x1520_20260204_143354,resnet50,1,Aug+Mar+Jul,Full Res,10,vineyard_segmentation_paper-10,March,2028x1520,direct,none,0.3058581645328488,0.9475798959074833,6.677254025367655,0.15885484328157304,0.010079725782625644,0.10652066594505623,0.4309496482679354,0.4214695824580172,0.7262320502821964,0.21310301890999114,0.01021407180552605,0.11323808909045095,0.26963101503776404,0.019636172403116832,0.18877491393168386,0.11683098633180965,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-1/resnet50_img2028x1520_20260204_143354/resnet50_vineyard_segmentation_paper-1_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 2 | resnet101_img1280x960_20260204_190518,resnet101,2,Aug+Mar+Jul,2x2,6,vineyard_segmentation_paper-6,August,1280x960,tiled_reconstruct,2x2,0.47615945726438824,0.9301406397141149,3.937069219930746,0.22693456251697477,0.06202388415845158,0.34249987942533267,0.4658322345820523,0.34019195776081457,0.6919198865728893,0.28006333108028464,0.06888481911653144,0.39787961561139745,0.3264842679202751,0.1056849465451366,0.4815753774796563,0.11024982770058242,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-2/resnet101_img1280x960_20260204_190518/resnet101_vineyard_segmentation_paper-2_unet_image_size_1280x960_batch_size_8.pth
