Dataset,Model,Backbone,ModelPath,TrainedImageSize,TestedImageCount,Conf,Sampling,Method,Params,TP,FN,FP,Total_Predictions,Total_GT,RMSE
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,Agglomerative,dist_thresh:0.5,16,24,43,59,40,1.265738730937846
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,Agglomerative,dist_thresh:0.5,16,24,45,61,40,1.3272649288949505
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,KMeans,k:42,16,24,26,42,40,1.4013789146808122
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,KMeans,k:40,16,24,24,40,40,1.4244506615508812
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,KMeans,k:38,16,24,22,38,40,1.436055282322804
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,KMeans,k:42,16,24,26,42,40,1.5172499262048371
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,Agglomerative,dist_thresh:0.75,15,25,16,31,40,1.3598176905875083
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,Agglomerative,dist_thresh:1.0,15,25,6,21,40,1.4415828862282536
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,KMeans,k:40,15,25,25,40,40,1.4533074068095093
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,Agglomerative,dist_thresh:1.0,15,25,6,21,40,1.4712272745626638
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,Agglomerative,dist_thresh:0.75,14,26,15,29,40,1.2492923851772049
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,Agglomerative,dist_thresh:1.75,14,26,0,14,40,1.2594308728353936
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,Agglomerative,dist_thresh:1.75,14,26,0,14,40,1.2726095833228486
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,KMeans,k:38,14,26,24,38,40,1.4251616220870529
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,DBSCAN,"eps:0.5, min_s:1",13,27,0,13,40,1.097189566524356
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,DBSCAN,"eps:0.5, min_s:3",13,27,0,13,40,1.097189566524356
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,DBSCAN,"eps:0.5, min_s:5",13,27,0,13,40,1.097189566524356
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,Agglomerative,dist_thresh:2.0,13,27,0,13,40,1.1035923396979888
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,Agglomerative,dist_thresh:2.0,13,27,0,13,40,1.1079520616025265
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,Agglomerative,dist_thresh:1.25,13,27,3,16,40,1.2043899136475045
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,Agglomerative,dist_thresh:1.5,13,27,3,16,40,1.2043899136475045
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,Agglomerative,dist_thresh:1.25,13,27,3,16,40,1.2173789137782098
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,Agglomerative,dist_thresh:1.5,13,27,3,16,40,1.2173789137782098
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,DBSCAN,"eps:0.5, min_s:1",12,28,0,12,40,1.1250856570946097
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,DBSCAN,"eps:0.5, min_s:3",12,28,0,12,40,1.1250856570946097
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,DBSCAN,"eps:0.5, min_s:5",12,28,0,12,40,1.1250856570946097
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,DBSCAN,"eps:0.75, min_s:1",12,28,0,12,40,1.1250856570946097
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,DBSCAN,"eps:0.75, min_s:3",12,28,0,12,40,1.1250856570946097
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,DBSCAN,"eps:0.75, min_s:5",12,28,0,12,40,1.1250856570946097
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,centroid_only,DBSCAN,"eps:0.75, min_s:1",12,28,4,16,40,1.3296991459788008
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,centroid_only,Agglomerative,dist_thresh:0.75,12,28,4,16,40,1.3296991459788008
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.5,all_pixels,Agglomerative,dist_thresh:1.0,12,28,0,12,40,1.5767025213505137
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.5,grid_sample,Agglomerative,dist_thresh:1.0,12,28,0,12,40,1.5830204703147857
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,DBSCAN,"eps:0.75, min_s:1",11,29,0,11,40,1.1808216906748814
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,DBSCAN,"eps:0.75, min_s:3",11,29,0,11,40,1.1808216906748814
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,all_pixels,DBSCAN,"eps:0.75, min_s:5",11,29,0,11,40,1.1808216906748814
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,centroid_only,DBSCAN,"eps:0.5, min_s:1",11,29,6,17,40,1.3761668783074161
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,centroid_only,Agglomerative,dist_thresh:0.5,11,29,6,17,40,1.3761668783074161
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.5,all_pixels,DBSCAN,"eps:0.5, min_s:3",11,29,0,11,40,1.4147036579483288
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.5,all_pixels,DBSCAN,"eps:0.5, min_s:1",11,29,1,12,40,1.4147036579483288
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.5,grid_sample,DBSCAN,"eps:0.5, min_s:1",11,29,1,12,40,1.419994059284481
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.5,grid_sample,DBSCAN,"eps:0.75, min_s:1",11,29,0,11,40,1.4242782332624744
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.5,all_pixels,Agglomerative,dist_thresh:1.25,11,29,0,11,40,1.5246431492764332
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.5,grid_sample,Agglomerative,dist_thresh:1.25,11,29,0,11,40,1.5339738668940093
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,centroid_only,DBSCAN,"eps:1.5, min_s:1",11,29,1,12,40,1.551442987310757
August_100ft,ResNet18_P22_1280x960,resnet18,resnet_models/resnet18/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth,1280x960,49,0.3,grid_sample,DBSCAN,"eps:1.0, min_s:1",10,30,0,10,40,1.0875866507191247
