Roboflow Version Name,Description,Tile Size,Image Size,Backbone,ResNet Trained Image Size,mIoU,IoU_background,IoU_pole,IoU_trunk,IoU_vine_row,Precision_background,Precision_pole,Precision_trunk,Precision_vine_row,Recall_background,Recall_pole,Recall_trunk,Recall_vine_row,F1_background,F1_pole,F1_trunk,F1_vine_row,pixel_acc,FPS
vineyard_segmentation_paper/10_aug,Dataset vineyard_segmentation_paper-10_aug,unknown,unknown,resnet101,1014x760,0.330979503,0.9820645,0.13906157,0.146920106,0.016190965,0.983409457,0.65422148,0.558151403,0.356583678,0.998592585,0.150879479,0.167652789,0.019833808,0.990915377,0.234298135,0.239307014,0.030405043,0.981971846,23.46944962
vineyard_segmentation_paper/10_aug,Dataset vineyard_segmentation_paper-10_aug,unknown,unknown,resnet101,1280x960,0.358594981,0.982474583,0.259078964,0.152450487,0.000207702,0.984341379,0.556217082,0.55249796,0.203640006,0.998048133,0.373940085,0.177538174,0.000208403,0.991125434,0.402909404,0.246456161,0.00041507,0.98226729,15.51221429
vineyard_segmentation_paper/10_aug,Dataset vineyard_segmentation_paper-10_aug,unknown,unknown,resnet101,2028x1520,0.389277542,0.982308537,0.32557753,0.237100265,0.012123837,0.986592881,0.494463933,0.474408066,0.299717114,0.995554151,0.510194707,0.323119894,0.013567706,0.991042468,0.474775608,0.36667939,0.023400612,0.981994805,5.792929786
vineyard_segmentation_paper/10_aug,Dataset vineyard_segmentation_paper-10_aug,unknown,unknown,resnet101,640x480,0.374801285,0.981673729,0.299637171,0.114686943,0.086320875,0.985749474,0.455940554,0.467017233,0.2889686,0.995763355,0.520914939,0.129774083,0.123500466,0.99071654,0.442176123,0.193687719,0.145042831,0.981193138,34.95052986
vineyard_segmentation_paper/11_aug,Dataset vineyard_segmentation_paper-11_aug,unknown,unknown,resnet101,1014x760,0.568613854,0.99234814,0.209002121,0.141890293,0.025743812,0.994645988,0.334262021,0.27106012,0.123667197,0.997657084,0.338699719,0.179756603,0.03330922,0.996141833,0.292874717,0.205560008,0.044037688,0.992073948,26.04810333
vineyard_segmentation_paper/11_aug,Dataset vineyard_segmentation_paper-11_aug,unknown,unknown,resnet101,1280x960,0.585579124,0.992320118,0.172609531,0.156300879,4.40E-07,0.994672276,0.36534046,0.251432483,0.012048193,0.997600893,0.270088458,0.246174387,4.40E-07,0.996126625,0.252089903,0.226418055,8.79E-07,0.992054272,16.62478176
vineyard_segmentation_paper/11_aug,Dataset vineyard_segmentation_paper-11_aug,unknown,unknown,resnet101,2028x1520,0.575096463,0.992574305,0.170734962,0.127871867,1.33E-06,0.99372126,0.354580662,0.27918094,0.004134184,0.998827015,0.248691169,0.164447615,1.33E-06,0.996255093,0.251901338,0.187187685,2.65E-06,0.992389074,5.872480078
vineyard_segmentation_paper/11_aug,Dataset vineyard_segmentation_paper-11_aug,unknown,unknown,resnet101,640x480,0.558656254,0.99200293,0.082301515,0.085398823,3.02E-06,0.992525652,0.324567549,0.277867974,0.024096386,0.999460922,0.103072537,0.097466905,3.02E-06,0.995962788,0.130543756,0.13086005,6.04E-06,0.991948821,63.92896447
vineyard_segmentation_paper/12_aug,Dataset vineyard_segmentation_paper-12_aug,unknown,unknown,resnet101,1014x760,0.736069281,0.993643306,0.045242621,0.074194965,0,0.994898754,0.166277807,0.155765666,0,0.998676366,0.069835765,0.096893163,0,0.996763681,0.06995574,0.10416648,0,0.993588193,26.38069517
vineyard_segmentation_paper/12_aug,Dataset vineyard_segmentation_paper-12_aug,unknown,unknown,resnet101,1280x960,0.722006822,0.993289536,0.058924955,0.072119301,0,0.995263994,0.144692753,0.118668586,0,0.997933605,0.101383384,0.11627947,0,0.996582541,0.090921816,0.103214803,0,0.99296319,16.8076693
