Roboflow Version Name,Description,Tile Size,Image Size,Backbone,ResNet Trained Image Size,mIoU,IoU_background,IoU_pole,IoU_trunk,IoU_vine_row,Precision_background,Precision_pole,Precision_trunk,Precision_vine_row,Recall_background,Recall_pole,Recall_trunk,Recall_vine_row,F1_background,F1_pole,F1_trunk,F1_vine_row,pixel_acc,FPS
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet50,1014x760,0.333688473,0.970475285,0.248793972,0.000794504,0.114690132,0.972652572,0.587592476,0.095670584,0.519048915,0.99769579,0.312157855,0.000800841,0.13185401,0.984972935,0.393320157,0.001584538,0.193497931,0.969832171,5.917858142
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet50,1280x960,0.384131902,0.970556693,0.254684345,0.126793104,0.184493465,0.975837004,0.620322229,0.45765942,0.500408668,0.994440101,0.311689162,0.150975351,0.23283982,0.985016173,0.39953879,0.221380107,0.297923289,0.969769778,5.302076823
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet50,2028x1520,0.367633273,0.971932523,0.316877945,0.038154197,0.143568428,0.974481807,0.59243606,0.745690687,0.576448738,0.997312788,0.41520579,0.038716133,0.161774486,0.985727281,0.475935655,0.07191453,0.24080281,0.971059056,2.783534519
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet50,640x480,0.337148379,0.969541639,0.152972745,0.014431238,0.211647892,0.975576426,0.663125726,0.349642224,0.490846184,0.993642324,0.171461985,0.015109147,0.282881834,0.984490145,0.258463823,0.028310178,0.336677694,0.968930411,6.753916483
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet50,1014x760,0.384306715,0.95919978,0.330462753,0.146444476,0.10111985,0.963665763,0.589983858,0.571801827,0.571133295,0.995170388,0.437791362,0.175158631,0.112139017,0.979143515,0.490042469,0.246293475,0.178009146,0.958607375,4.91178982
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet50,1280x960,0.384798978,0.959431226,0.351542031,0.114876926,0.11334573,0.964053233,0.598596513,0.651300629,0.542838993,0.995014583,0.456847462,0.130922654,0.128821761,0.979266008,0.5153607,0.196025861,0.203007252,0.9585031,4.506023513
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet50,2028x1520,0.442413681,0.960010569,0.387919316,0.225794613,0.195930227,0.969389539,0.601194999,0.647031633,0.487587754,0.990032086,0.527269075,0.265989067,0.25774055,0.979573268,0.549479871,0.363456488,0.325146516,0.958912575,2.674242927
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet50,640x480,0.393534278,0.958732894,0.328745249,0.079510825,0.207148144,0.967397229,0.557290395,0.5049115,0.523032861,0.990714529,0.446909554,0.088997403,0.260606417,0.978902304,0.490548876,0.144105403,0.338259633,0.958196716,5.705629718
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/74_aug,Dataset vineyard_segmentation_paper-74_aug,unknown,unknown,resnet50,1014x760,0.379848075,0.961211008,0.162885081,0.02362496,0.371671249,0.975504957,0.431933704,0.403390499,0.571032305,0.984938042,0.200143231,0.034964777,0.491476307,0.980195451,0.271999992,0.044558553,0.523419825,0.961238516,4.999395053
