Trained Model,Train Altitude,Train Variant,Model ID,Test Dataset,Test Altitude,Test Variant,Dataset ID,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth
Train 39ft Full Res (v58),39ft,Full Res,58,Test 39ft Full Res (v58),39ft,Full Res,58,0.6330701152589271,0.3353745656185869,0.6330701152589271,0.7044025157232704,7.538401023914498,334,318
Train 39ft Full Res (v58),39ft,Full Res,58,Test 65ft Full Res (v59),65ft,Full Res,59,0.21519411471383074,0.11038132663284805,0.21519411471383074,0.22613065326633167,10.122255124869778,166,597
Train 39ft Full Res (v58),39ft,Full Res,58,Test 100ft Full Res (v60),100ft,Full Res,60,0.0018001800180018003,0.0012601260126012602,0.0018001800180018003,0.0049382716049382715,8.575425356475899,13,405
Train 65ft Full Res (v59),65ft,Full Res,59,Test 39ft Full Res (v58),39ft,Full Res,58,0.0883448564652707,0.03132440010747398,0.0883448564652707,0.1761006289308176,8.734922539143893,192,318
Train 65ft Full Res (v59),65ft,Full Res,59,Test 65ft Full Res (v59),65ft,Full Res,59,0.6671929250168168,0.30123740935181037,0.6671929250168168,0.7202680067001676,10.732919221845052,604,597
Train 65ft Full Res (v59),65ft,Full Res,59,Test 100ft Full Res (v60),100ft,Full Res,60,0.4164289208949452,0.17934892936994967,0.4164289208949452,0.45925925925925926,8.873373403303459,247,405
Train 100ft Full Res (v60),100ft,Full Res,60,Test 39ft Full Res (v58),39ft,Full Res,58,0.03988846551492201,0.014734499282867394,0.03988846551492201,0.09433962264150944,8.756192981357383,285,318
Train 100ft Full Res (v60),100ft,Full Res,60,Test 65ft Full Res (v59),65ft,Full Res,59,0.5375499345839971,0.21146388292733279,0.5375499345839971,0.6063651591289783,10.699658248649824,539,597
Train 100ft Full Res (v60),100ft,Full Res,60,Test 100ft Full Res (v60),100ft,Full Res,60,0.5914540516630442,0.2673015842549953,0.5914540516630442,0.6444444444444445,8.85875013798992,330,405
Train ALL Altitudes Full Res (v2),39+65+100ft,Full Res,2,Test 39ft Full Res (v58),39ft,Full Res,58,0.7255099142032826,0.3880542206061814,0.7255099142032826,0.8113207547169812,8.44001303156562,371,318
Train ALL Altitudes Full Res (v2),39+65+100ft,Full Res,2,Test 65ft Full Res (v59),65ft,Full Res,59,0.8168337880483311,0.4564791234504974,0.8168337880483311,0.8458961474036851,10.314958429876512,585,597
Train ALL Altitudes Full Res (v2),39+65+100ft,Full Res,2,Test 100ft Full Res (v60),100ft,Full Res,60,0.6920075902496873,0.3204175516190942,0.6920075902496873,0.7358024691358025,8.830804036189216,357,405
