Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth
vineyard_object_detection_paper-42,Test: Dataset (v58),0.47858894744196023,0.24405206623339912,0.47858894744196023,0.5660377358490566,6.390063089654016,327,318
vineyard_object_detection_paper-42,Test: Dataset (v58_aug),0.27345918376420414,0.0883317001830551,0.27345918376420414,0.39285714285714285,6.905569379724269,953,980
vineyard_object_detection_paper-42,Test: Dataset (v59),0.5574201975587447,0.265836820487196,0.5574201975587447,0.5996649916247906,8.332807756061907,509,597
vineyard_object_detection_paper-42,Test: Dataset (v59_aug),0.32680170485303434,0.11106584623877638,0.32680170485303434,0.4184357541899441,8.365114441170771,1445,1790
vineyard_object_detection_paper-42,Test: Dataset (v60),0.31272330353075334,0.12199674365328242,0.31272330353075334,0.345679012345679,6.829668726997946,176,405
vineyard_object_detection_paper-42,Test: Dataset (v60_aug),0.23189299898234136,0.0702509353063071,0.23189299898234136,0.29343308395677475,7.889558698275784,567,1203
vineyard_object_detection_paper-42,Test: Dataset (v61),0.5112265832510207,0.2601813423586001,0.5112265832510207,0.5927051671732523,25.290914404774945,321,329
vineyard_object_detection_paper-42,Test: Dataset (v61_aug),0.2782317495204688,0.09358707298403546,0.2782317495204688,0.4035250463821892,25.61243680630161,964,1078
vineyard_object_detection_paper-42,Test: Dataset (v62),0.0014851485148514852,0.00044554455445544556,0.0014851485148514852,0.007874015748031496,18.4986234528417,40,381
vineyard_object_detection_paper-42,Test: Dataset (v62_aug),0.000825082508250825,0.00037325161087537324,0.000825082508250825,0.003465003465003465,18.303478001080098,84,1443
vineyard_object_detection_paper-42,Test: Dataset (v63),0.0033946251768033945,0.0009170202734559169,0.0033946251768033945,0.013544018058690745,38.81292121713146,48,443
vineyard_object_detection_paper-42,Test: Dataset (v63_aug),0.0010703773080010704,0.0003404128430030864,0.0010703773080010704,0.005411255411255411,38.79843037264135,109,1848
vineyard_object_detection_paper-42,Test: Dataset (v64),0.4481536364984183,0.20190640646351257,0.4481536364984183,0.5033222591362126,21.53796589771069,488,602
vineyard_object_detection_paper-42,Test: Dataset (v64_aug),0.26656061207614967,0.08896069236893991,0.26656061207614967,0.3664727657324167,21.660295263263723,1522,1891
vineyard_object_detection_paper-42,Test: Dataset (v65),0.34656392420719156,0.15975748146588709,0.34656392420719156,0.40298507462686567,45.02264910816894,455,670
vineyard_object_detection_paper-42,Test: Dataset (v65_aug),0.2057948825417941,0.06859722713005045,0.2057948825417941,0.28659070990359337,45.0211765699836,1332,2282
vineyard_object_detection_paper-42,Test: Dataset (v66),0.0026402640264026403,0.0007269298358407268,0.0026402640264026403,0.0078125,19.566616508934295,30,768
vineyard_object_detection_paper-42,Test: Dataset (v66_aug),0.0006188118811881188,0.00015288293535235876,0.0006188118811881188,0.0006805035726437564,19.387534487492776,34,2939
vineyard_object_detection_paper-42,Test: Dataset (v67),0.32398491352303577,0.14596981053356348,0.32398491352303577,0.36018957345971564,18.554525552391024,231,422
vineyard_object_detection_paper-42,Test: Dataset (v67_aug),0.22962728478438443,0.06016751912259267,0.22962728478438443,0.30385852090032156,20.856541939725005,735,1244
vineyard_object_detection_paper-42,Test: Dataset (v68),0.2392800073995072,0.10580499221375529,0.2392800073995072,0.2727272727272727,32.64337710718974,194,440
vineyard_object_detection_paper-42,Test: Dataset (v68_aug),0.20925980327353025,0.0759971853685775,0.20925980327353025,0.2512455516014235,33.866577611780635,633,1405
vineyard_object_detection_paper-42,Test: Dataset (v69),0.1930349340936457,0.08580306674468975,0.1930349340936457,0.22972972972972974,51.01409414584546,204,518
vineyard_object_detection_paper-42,Test: Dataset (v69_aug),0.14995860925990434,0.05835236318816063,0.14995860925990434,0.18972562755399883,52.262527333851686,599,1713
vineyard_object_detection_paper-46,Test: Dataset (v58),0.5406027703339122,0.2534686973052131,0.5406027703339122,0.6572327044025157,7.255489531788744,365,318
vineyard_object_detection_paper-46,Test: Dataset (v58_aug),0.4074372547510568,0.16024310717343118,0.4074372547510568,0.5040816326530613,7.127015572181287,925,980
vineyard_object_detection_paper-46,Test: Dataset (v59),0.5273138866676841,0.22440684851951775,0.5273138866676841,0.5812395309882747,8.620030229640655,494,597
vineyard_object_detection_paper-46,Test: Dataset (v59_aug),0.46613771890814004,0.17725309411738704,0.46613771890814004,0.5167597765363129,8.703739135506684,1294,1790
vineyard_object_detection_paper-46,Test: Dataset (v60),0.17499131748586708,0.0783056180212976,0.17499131748586708,0.21481481481481482,7.158636796685897,132,405
vineyard_object_detection_paper-46,Test: Dataset (v60_aug),0.17324852385036915,0.06384877432055212,0.17324852385036915,0.2028262676641729,8.150506000355136,353,1203
vineyard_object_detection_paper-46,Test: Dataset (v61),0.5297474338416,0.23618944725653163,0.5297474338416,0.6170212765957447,26.14239682532926,366,329
vineyard_object_detection_paper-46,Test: Dataset (v61_aug),0.39357149574858374,0.14975104106519088,0.39357149574858374,0.48794063079777367,25.757154234011335,946,1078
vineyard_object_detection_paper-46,Test: Dataset (v62),0.01386138613861386,0.00517051705170517,0.01386138613861386,0.013123359580052493,18.442579463656386,22,381
vineyard_object_detection_paper-46,Test: Dataset (v62_aug),0.009900990099009901,0.0034103410341034097,0.009900990099009901,0.006237006237006237,18.280848728292224,52,1443
vineyard_object_detection_paper-46,Test: Dataset (v63),0.012376237623762377,0.0024257425742574257,0.012376237623762377,0.013544018058690745,38.679887062943955,25,443
vineyard_object_detection_paper-46,Test: Dataset (v63_aug),0.0049504950495049506,0.0027357998957790513,0.0049504950495049506,0.004329004329004329,38.544153840889486,61,1848
vineyard_object_detection_paper-46,Test: Dataset (v64),0.5942085269366738,0.24997513161901433,0.5942085269366738,0.6395348837209303,21.209425613980756,536,602
vineyard_object_detection_paper-46,Test: Dataset (v64_aug),0.413553732880697,0.1434214171286681,0.413553732880697,0.4923320994182972,21.546117598155025,1445,1891
vineyard_object_detection_paper-46,Test: Dataset (v65),0.4765100838684711,0.19120485825968164,0.4765100838684711,0.5283582089552239,44.52625110511689,515,670
vineyard_object_detection_paper-46,Test: Dataset (v65_aug),0.2974066808872273,0.1062690659475968,0.2974066808872273,0.3654688869412796,44.95047315678355,1391,2282
vineyard_object_detection_paper-46,Test: Dataset (v66),0.0099009900990099,0.0016501650165016498,0.0099009900990099,0.0026041666666666665,19.383159925678974,6,768
vineyard_object_detection_paper-46,Test: Dataset (v66_aug),0.009900990099009901,0.00396039603960396,0.009900990099009901,0.0013610071452875127,19.346568352939745,8,2939
vineyard_object_detection_paper-46,Test: Dataset (v67),0.3862928123486378,0.15791550106714705,0.3862928123486378,0.4265402843601896,18.921105969911576,261,422
vineyard_object_detection_paper-46,Test: Dataset (v67_aug),0.27652142768426485,0.09532089655476292,0.27652142768426485,0.33360128617363344,20.784630949362786,638,1244
vineyard_object_detection_paper-46,Test: Dataset (v68),0.1852870313587224,0.07327869910619077,0.1852870313587224,0.22727272727272727,32.14519110785703,172,440
vineyard_object_detection_paper-46,Test: Dataset (v68_aug),0.13801390415979808,0.05036067914048174,0.13801390415979808,0.17793594306049823,33.33914962737119,452,1405
vineyard_object_detection_paper-46,Test: Dataset (v69),0.14616502678924992,0.06724222742869583,0.14616502678924992,0.19884169884169883,50.44681246766229,181,518
vineyard_object_detection_paper-46,Test: Dataset (v69_aug),0.11318528114023987,0.04681399102839766,0.11318528114023987,0.14711033274956217,51.828262008989434,486,1713
vineyard_object_detection_paper-50,Test: Dataset (v58),0.5798970749915004,0.2926343405866687,0.5798970749915004,0.6761006289308176,7.309425208170096,374,318
vineyard_object_detection_paper-50,Test: Dataset (v58_aug),0.3908790312634735,0.14866440758115188,0.3908790312634735,0.5316326530612245,6.820702414981014,1190,980
vineyard_object_detection_paper-50,Test: Dataset (v59),0.5521906960280225,0.2355221012424517,0.5521906960280225,0.6030150753768844,8.647894184806791,471,597
vineyard_object_detection_paper-50,Test: Dataset (v59_aug),0.3609713390747044,0.11076364050663907,0.3609713390747044,0.4871508379888268,8.290079601668403,1533,1790
vineyard_object_detection_paper-50,Test: Dataset (v60),0.21794909860379055,0.06880445795053099,0.21794909860379055,0.254320987654321,6.873919643137117,143,405
vineyard_object_detection_paper-50,Test: Dataset (v60_aug),0.2193245064307063,0.05698008933946767,0.2193245064307063,0.27597672485453034,7.900213963793331,515,1203
vineyard_object_detection_paper-50,Test: Dataset (v61),0.5293215286202712,0.2775639960315132,0.5293215286202712,0.6139817629179332,25.24667401042825,358,329
vineyard_object_detection_paper-50,Test: Dataset (v61_aug),0.28247412326823884,0.08678636448013219,0.28247412326823884,0.4137291280148423,24.65924551080153,1090,1078
vineyard_object_detection_paper-50,Test: Dataset (v62),0.01026630177249224,0.004053761208366789,0.01026630177249224,0.047244094488188976,18.321990133788464,111,381
vineyard_object_detection_paper-50,Test: Dataset (v62_aug),0.0028082808280828083,0.0007380738073807382,0.0028082808280828083,0.01593901593901594,18.27357624080206,281,1443
vineyard_object_detection_paper-50,Test: Dataset (v63),0.017919275505768092,0.009307440774535455,0.017919275505768092,0.04740406320541761,38.541606886576716,119,443
vineyard_object_detection_paper-50,Test: Dataset (v63_aug),0.01097136740701097,0.006177032332948893,0.01097136740701097,0.012445887445887446,38.189680179434546,268,1848
vineyard_object_detection_paper-50,Test: Dataset (v64),0.5391752935355303,0.23754807495597924,0.5391752935355303,0.6112956810631229,21.42033739273073,616,602
vineyard_object_detection_paper-50,Test: Dataset (v64_aug),0.3418999793765768,0.11374345072259473,0.3418999793765768,0.46483342147012163,21.435753302551458,1793,1891
vineyard_object_detection_paper-50,Test: Dataset (v65),0.45417739154394754,0.20564226327082938,0.45417739154394754,0.5298507462686567,45.016541658993056,604,670
vineyard_object_detection_paper-50,Test: Dataset (v65_aug),0.27028875861007773,0.09070546854120928,0.27028875861007773,0.34925503943908853,44.95999851543473,1667,2282
vineyard_object_detection_paper-50,Test: Dataset (v66),0.0147014701470147,0.006975928362066975,0.0147014701470147,0.026041666666666668,19.293000834952043,85,768
vineyard_object_detection_paper-50,Test: Dataset (v66_aug),0.012563441218071385,0.0023195494684934647,0.012563441218071385,0.012929567880231372,19.34641837199719,190,2939
vineyard_object_detection_paper-50,Test: Dataset (v67),0.37578398964189347,0.13813141055374323,0.37578398964189347,0.4312796208530806,18.873471038288905,273,422
