Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth
vineyard_object_detection_paper-10,Test: Dataset (v10),0.9001451181202902,0.484870027745652,0.9001451181202902,0.9204339963833634,5.799871429500584,579,553
vineyard_object_detection_paper-10,Test: Dataset (v11),0.8404722037970883,0.4527028573677999,0.8404722037970883,0.8611599297012302,21.07767715641766,575,569
vineyard_object_detection_paper-10,Test: Dataset (v12),0.4898657917051806,0.1977904430231558,0.4898657917051806,0.6076555023923444,34.51892592569936,688,627
vineyard_object_detection_paper-10,Test: Dataset (v13),0.4692855703345116,0.19792133895350478,0.4692855703345116,0.5773889636608345,55.150025641446405,744,743
vineyard_object_detection_paper-10,Test: Dataset (v14),0.06185712887697892,0.02186657902503051,0.06185712887697892,0.09141274238227147,7.038156499752031,184,361
vineyard_object_detection_paper-10,Test: Dataset (v15),0.0402446852460819,0.016891211051498184,0.0402446852460819,0.07859078590785908,21.891146773689478,178,369
vineyard_object_detection_paper-10,Test: Dataset (v16),0.010284115368058545,0.0015841982079099397,0.010284115368058545,0.030878859857482184,35.05812532036385,111,421
vineyard_object_detection_paper-10,Test: Dataset (v17),0.011046132085736047,0.002220870156513721,0.011046132085736047,0.03375527426160337,56.475354680059176,139,474
vineyard_object_detection_paper-10,Test: Dataset (v18),0.5653316527551585,0.291423259154852,0.5653316527551585,0.6006256517205423,7.413884249532302,732,959
vineyard_object_detection_paper-10,Test: Dataset (v19),0.519845705075001,0.27062134536959365,0.519845705075001,0.556910569105691,23.196613178878877,701,984
vineyard_object_detection_paper-10,Test: Dataset (v2),0.41981060206623805,0.21260333961255,0.41981060206623805,0.46136363636363636,7.737888242590718,916,1320
vineyard_object_detection_paper-10,Test: Dataset (v20),0.29123249919556093,0.11867170922652807,0.29123249919556093,0.3766355140186916,35.65432160327698,791,1070
vineyard_object_detection_paper-10,Test: Dataset (v21),0.29379711724194335,0.12102208163485856,0.29379711724194335,0.3713147410358566,56.89217260955338,858,1255
vineyard_object_detection_paper-10,Test: Dataset (v23),0.060493225507203326,0.02119644438808431,0.060493225507203326,0.11096938775510204,23.276206155375046,304,784
vineyard_object_detection_paper-10,Test: Dataset (v24),0.02038576423756877,0.009879770874833972,0.02038576423756877,0.04050925925925926,35.7761057299681,214,864
vineyard_object_detection_paper-10,Test: Dataset (v25),0.02459066458342199,0.009272716447302388,0.02459066458342199,0.0537525354969574,57.16310544871634,253,986
vineyard_object_detection_paper-10,Test: Dataset (v26),0.5558194529763196,0.2931211817049398,0.5558194529763196,0.5929978118161926,7.958918661762529,763,914
vineyard_object_detection_paper-10,Test: Dataset (v27),0.5144411128667663,0.27336253394093785,0.5144411128667663,0.5533049040511727,23.38258393238283,753,938
vineyard_object_detection_paper-10,Test: Dataset (v28),0.2890855770807109,0.11579657004094868,0.2890855770807109,0.37595419847328243,35.687584474615406,799,1048
vineyard_object_detection_paper-10,Test: Dataset (v29),0.26267795545437517,0.11101581615204081,0.26267795545437517,0.3454876937101185,56.84290803243263,761,1097
vineyard_object_detection_paper-10,Test: Dataset (v3),0.3816554639924832,0.19563471969846002,0.3816554639924832,0.42645971914264597,23.906107728066132,879,1353
vineyard_object_detection_paper-10,Test: Dataset (v30),0.09280925013683634,0.028810738219466517,0.09280925013683634,0.11083743842364532,10.38645896079792,76,406
vineyard_object_detection_paper-10,Test: Dataset (v31),0.08037538286649008,0.02427898235518015,0.08037538286649008,0.13975903614457832,21.562784052844748,126,415
vineyard_object_detection_paper-10,Test: Dataset (v32),0.02398603253182461,0.011823216302722709,0.02398603253182461,0.04966139954853273,34.715776387802855,103,443
vineyard_object_detection_paper-10,Test: Dataset (v33),0.03946568777330146,0.013404056899648964,0.03946568777330146,0.074,56.13242474791711,111,500
vineyard_object_detection_paper-10,Test: Dataset (v34),0.8665412275973025,0.45960230334610713,0.8665412275973025,0.8896925858951176,10.353359938930959,553,553
vineyard_object_detection_paper-10,Test: Dataset (v35),0.8404722037970883,0.4527028573677999,0.8404722037970883,0.8611599297012302,21.601328924736645,575,569
vineyard_object_detection_paper-10,Test: Dataset (v36),0.4898657917051806,0.1977904430231558,0.4898657917051806,0.6076555023923444,34.61371999987105,688,627
vineyard_object_detection_paper-10,Test: Dataset (v37),0.45405391194944694,0.19020026116818134,0.45405391194944694,0.5714285714285714,54.9970527687232,570,539
vineyard_object_detection_paper-10,Test: Dataset (v38),0.04343348294443141,0.01969841579906349,0.04343348294443141,0.07479224376731301,10.654554784168184,105,361
vineyard_object_detection_paper-10,Test: Dataset (v39),0.0402446852460819,0.016891211051498184,0.0402446852460819,0.07859078590785908,21.85447424624261,178,369
vineyard_object_detection_paper-10,Test: Dataset (v4),0.20568198351882225,0.0832642853784297,0.20568198351882225,0.2790073775989269,36.05420670068626,902,1491
vineyard_object_detection_paper-10,Test: Dataset (v40),0.010284115368058545,0.0015841982079099397,0.010284115368058545,0.030878859857482184,34.853598769836,111,421
vineyard_object_detection_paper-10,Test: Dataset (v41),0.011046132085736047,0.002220870156513721,0.011046132085736047,0.03375527426160337,56.36422018212743,139,474
vineyard_object_detection_paper-10,Test: Dataset (v42),0.5379627560146912,0.27848253897796116,0.5379627560146912,0.5599582898852972,12.012445264545745,629,959
vineyard_object_detection_paper-10,Test: Dataset (v43),0.519845705075001,0.27062134536959365,0.519845705075001,0.556910569105691,23.09721495049419,701,984
vineyard_object_detection_paper-10,Test: Dataset (v44),0.29123249919556093,0.11867170922652807,0.29123249919556093,0.3766355140186916,35.606536862787365,791,1070
vineyard_object_detection_paper-10,Test: Dataset (v45),0.2840870614749621,0.1152575867501467,0.2840870614749621,0.36056105610561057,56.8519650740489,824,1212
vineyard_object_detection_paper-10,Test: Dataset (v46),0.06549561797145328,0.024602290959997754,0.06549561797145328,0.0938722294654498,12.218722818637655,181,767
vineyard_object_detection_paper-10,Test: Dataset (v47),0.060493225507203326,0.02119644438808431,0.060493225507203326,0.11096938775510204,23.49312690292393,304,784
vineyard_object_detection_paper-10,Test: Dataset (v48),0.02038576423756877,0.009879770874833972,0.02038576423756877,0.04050925925925926,35.820842508673,214,864
vineyard_object_detection_paper-10,Test: Dataset (v49),0.02459066458342199,0.009272716447302388,0.02459066458342199,0.0537525354969574,57.40824309318625,253,986
vineyard_object_detection_paper-10,Test: Dataset (v5),0.20449131852745941,0.0849189764386437,0.20449131852745941,0.27877385772122615,57.62131024518042,997,1729
vineyard_object_detection_paper-10,Test: Dataset (v50),0.5410404054395441,0.2839095354092038,0.5410404054395441,0.5678336980306345,12.243614667623012,658,914
vineyard_object_detection_paper-10,Test: Dataset (v51),0.5144411128667663,0.27336253394093785,0.5144411128667663,0.5533049040511727,23.29003783912149,753,938
vineyard_object_detection_paper-10,Test: Dataset (v52),0.2890855770807109,0.11579657004094868,0.2890855770807109,0.37595419847328243,35.7454773914237,799,1048
vineyard_object_detection_paper-10,Test: Dataset (v53),0.27878430190832576,0.11672719840141153,0.27878430190832576,0.3656532456861134,56.83123539588016,883,1217
vineyard_object_detection_paper-10,Test: Dataset (v54),0.4033879872579294,0.2060555919413667,0.4033879872579294,0.42727272727272725,12.947590255384114,734,1320
vineyard_object_detection_paper-10,Test: Dataset (v55),0.3816554639924832,0.19563471969846002,0.3816554639924832,0.42645971914264597,23.83090114761958,879,1353
vineyard_object_detection_paper-10,Test: Dataset (v56),0.20568198351882225,0.0832642853784297,0.20568198351882225,0.2790073775989269,36.03564656231195,902,1491
vineyard_object_detection_paper-10,Test: Dataset (v57),0.20449131852745941,0.0849189764386437,0.20449131852745941,0.27877385772122615,57.507044785396324,997,1729
vineyard_object_detection_paper-10,Test: Dataset (v6),0.10799810801396607,0.03323626313475656,0.10799810801396607,0.16502463054187191,6.907774553431732,153,406
vineyard_object_detection_paper-10,Test: Dataset (v7),0.08037538286649008,0.02427898235518015,0.08037538286649008,0.13975903614457832,21.335711062973957,126,415
vineyard_object_detection_paper-10,Test: Dataset (v70),0.0851096120123702,0.02813335760287304,0.0851096120123702,0.1303780964797914,7.806764053126919,337,767
vineyard_object_detection_paper-10,Test: Dataset (v8),0.02398603253182461,0.011823216302722709,0.02398603253182461,0.04966139954853273,34.54077973985044,103,443
vineyard_object_detection_paper-10,Test: Dataset (v9),0.0383983673092584,0.01312020697674062,0.0383983673092584,0.072265625,56.25678692733716,114,512
vineyard_object_detection_paper-11,Test: Dataset (v10),0.8883807735516602,0.47752029575999977,0.8883807735516602,0.9113924050632911,6.971113692290305,553,553
vineyard_object_detection_paper-11,Test: Dataset (v11),0.8610954163205263,0.4669007139934847,0.8610954163205263,0.8857644991212654,21.547804487552913,577,569
vineyard_object_detection_paper-11,Test: Dataset (v12),0.6960197864604979,0.30848361785496103,0.6960197864604979,0.7719298245614035,34.47497603830451,693,627
vineyard_object_detection_paper-11,Test: Dataset (v13),0.6411338656254314,0.294771278703096,0.6411338656254314,0.7160161507402423,55.82803428362793,752,743
vineyard_object_detection_paper-11,Test: Dataset (v14),0.06833664382579124,0.026803849992913614,0.06833664382579124,0.09695290858725762,7.148017065729954,145,361
vineyard_object_detection_paper-11,Test: Dataset (v15),0.07089103398037389,0.026418601278825275,0.07089103398037389,0.10298102981029811,21.96955711564816,152,369
vineyard_object_detection_paper-11,Test: Dataset (v16),0.02706003393861654,0.0050915121355513465,0.02706003393861654,0.05938242280285035,34.92610638227433,153,421
vineyard_object_detection_paper-11,Test: Dataset (v17),0.02354140023001863,0.0047295675267151225,0.02354140023001863,0.05485232067510549,56.7236830954868,147,474
vineyard_object_detection_paper-11,Test: Dataset (v18),0.5612321121101391,0.2905737188370048,0.5612321121101391,0.5922836287799792,7.7433795596703945,680,959
vineyard_object_detection_paper-11,Test: Dataset (v19),0.5405788561729251,0.2851517582587101,0.5405788561729251,0.5711382113821138,23.10197710968754,699,984
vineyard_object_detection_paper-11,Test: Dataset (v2),0.41860896773035045,0.2130606523257526,0.41860896773035045,0.45681818181818185,8.063406550411543,825,1320
vineyard_object_detection_paper-11,Test: Dataset (v20),0.42528519154695454,0.18584104322587275,0.42528519154695454,0.48598130841121495,35.516706571690484,784,1070
vineyard_object_detection_paper-11,Test: Dataset (v21),0.395890984060974,0.17890267381290512,0.395890984060974,0.4589641434262948,57.032583436317154,859,1255
vineyard_object_detection_paper-11,Test: Dataset (v23),0.07948512565770714,0.03063603841804118,0.07948512565770714,0.12244897959183673,23.363859414795897,274,784
vineyard_object_detection_paper-11,Test: Dataset (v24),0.044133963678546405,0.012135656911561307,0.044133963678546405,0.07060185185185185,35.69923926998121,244,864
vineyard_object_detection_paper-11,Test: Dataset (v25),0.03587597619758705,0.010318346998835269,0.03587597619758705,0.07099391480730223,57.590985173687336,254,986
vineyard_object_detection_paper-11,Test: Dataset (v26),0.5512957247882072,0.2917681767022859,0.5512957247882072,0.5897155361050328,7.821853219977162,698,914
vineyard_object_detection_paper-11,Test: Dataset (v27),0.5411040544484224,0.28711430452969255,0.5411040544484224,0.5778251599147122,23.363971362548643,729,938
vineyard_object_detection_paper-11,Test: Dataset (v28),0.4091213448370039,0.1788994172859979,0.4091213448370039,0.4856870229007634,35.497527232431544,846,1048
vineyard_object_detection_paper-11,Test: Dataset (v29),0.359945872870193,0.16423648514731254,0.359945872870193,0.43208751139471285,57.58877096614372,779,1097
vineyard_object_detection_paper-11,Test: Dataset (v3),0.40632825223837027,0.21059878006007432,0.40632825223837027,0.4434589800443459,23.873671413504645,851,1353
vineyard_object_detection_paper-11,Test: Dataset (v30),0.07710004363346716,0.031914101743576326,0.07710004363346716,0.09359605911330049,10.317455584575224,63,406
vineyard_object_detection_paper-11,Test: Dataset (v31),0.08687718404125443,0.03261860147583321,0.08687718404125443,0.13975903614457832,20.942120628335775,122,415
vineyard_object_detection_paper-11,Test: Dataset (v32),0.05921119027582483,0.018346763606868745,0.05921119027582483,0.08126410835214447,34.53248509219027,91,443
vineyard_object_detection_paper-11,Test: Dataset (v33),0.0551764238393279,0.017743191178238773,0.0551764238393279,0.088,56.17000939931941,104,500
vineyard_object_detection_paper-11,Test: Dataset (v34),0.8517420474367404,0.4506331246409488,0.8517420474367404,0.8788426763110307,10.211239043768236,541,553
vineyard_object_detection_paper-11,Test: Dataset (v35),0.8610954163205263,0.4669007139934847,0.8610954163205263,0.8857644991212654,21.465701658663292,577,569
