Dataset,Model,InferenceMode,Conf,IoU,Method,Params,TP,FN,FP,Total_Predictions,Total_GT,RMSE
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.15,0.3,Agglomerative,dist_thresh:0.5,40,0,279,319,40,0.4067801913073923
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.15,0.45,Agglomerative,dist_thresh:0.5,40,0,279,319,40,0.4067801913073923
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.15,0.6,Agglomerative,dist_thresh:0.5,40,0,279,319,40,0.4067801913073923
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.25,0.3,Agglomerative,dist_thresh:0.5,40,0,245,285,40,0.41132391179247957
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.25,0.45,Agglomerative,dist_thresh:0.5,40,0,245,285,40,0.41132391179247957
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.25,0.6,Agglomerative,dist_thresh:0.5,40,0,245,285,40,0.41132391179247957
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.35,0.3,Agglomerative,dist_thresh:0.5,40,0,225,265,40,0.4204673618726447
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.35,0.45,Agglomerative,dist_thresh:0.5,40,0,225,265,40,0.4204673618726447
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.35,0.6,Agglomerative,dist_thresh:0.5,40,0,225,265,40,0.4204673618726447
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.15,0.3,Agglomerative,dist_thresh:1.75,40,0,26,66,40,0.4412479662466255
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.15,0.45,Agglomerative,dist_thresh:1.75,40,0,26,66,40,0.4412479662466255
August_100ft,Model_2_Composite_2x2,SAHI_2x2,0.15,0.6,Agglomerative,dist_thresh:1.75,40,0,26,66,40,0.4412479662466255
August_100ft,Model_6_August_2x2,SAHI_2x2,0.25,0.3,Agglomerative,dist_thresh:0.5,40,0,245,285,40,0.4426041135189762
August_100ft,Model_6_August_2x2,SAHI_2x2,0.25,0.45,Agglomerative,dist_thresh:0.5,40,0,245,285,40,0.4426041135189762
August_100ft,Model_6_August_2x2,SAHI_2x2,0.25,0.6,Agglomerative,dist_thresh:0.5,40,0,245,285,40,0.4426041135189762
August_100ft,Model_6_August_2x2,SAHI_2x2,0.35,0.3,Agglomerative,dist_thresh:0.5,40,0,193,233,40,0.44343920624822725
August_100ft,Model_6_August_2x2,SAHI_2x2,0.35,0.45,Agglomerative,dist_thresh:0.5,40,0,193,233,40,0.44343920624822725
