Trained Model,Train Altitude,Train Variant,Model ID,Test Dataset,Test Altitude,Test Variant,Dataset ID,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth,Pole AP50,Pole Precision,Pole Recall,Pole F1,Trunk AP50,Trunk Precision,Trunk Recall,Trunk F1,Vine Row AP50,Vine Row Precision,Vine Row Recall,Vine Row F1
Train 39ft Full Res (v72),39ft,Full Res,72,Test 39ft Full Res (v72),39ft,Full Res,72,0.2809279824159357,0.09424449164774584,0.2809279824159357,0.42714787434663065,5.782251797109501,891,986,0.4792206657257763,0.4792206657257763,0.6509433962264151,0.5520358294716621,0.18867548298298278,0.18867548298298278,0.2655367231638418,0.22060292002131482,0.17488779853904804,0.17488779853904804,0.36496350364963503,0.23646386863052943
Train 39ft Full Res (v72),39ft,Full Res,72,Test 65ft Full Res (v73),65ft,Full Res,73,0.1062853840843478,0.03156570376598971,0.1062853840843478,0.15022304933037142,6.997885297120813,561,2009,0.26194063927317396,0.26194063927317396,0.3685092127303183,0.3062179757957939,0.02572096495363822,0.02572096495363822,0.047377326565143825,0.03334115013799002,0.031194548026231197,0.031194548026231197,0.034782608695652174,0.03289101293066925
Train 39ft Full Res (v72),39ft,Full Res,72,Test 100ft Full Res (v74),100ft,Full Res,74,0.014814814814814815,0.0028119093960678123,0.014814814814814815,0.020267489711934157,6.285127505115099,58,1275,0.024642464246424644,0.024642464246424644,0.04691358024691358,0.03231218919637095,0.0,0.0,0.0,0.0,0.019801980198019802,0.019801980198019802,0.013888888888888888,0.0163265306122449
Train 65ft Full Res (v73),65ft,Full Res,73,Test 39ft Full Res (v72),39ft,Full Res,72,0.06904251664900701,0.027991223121114423,0.06904251664900701,0.10971577811719829,7.55222123399605,340,986,0.17857969516154246,0.17857969516154246,0.27358490566037735,0.21610143281813973,0.022978547854785477,0.022978547854785477,0.026365348399246705,0.024555718777504343,0.005569306930693069,0.005569306930693069,0.029197080291970802,0.009354293880732754
Train 65ft Full Res (v73),65ft,Full Res,73,Test 65ft Full Res (v73),65ft,Full Res,73,0.29780829110337165,0.08899036940766204,0.29780829110337165,0.4237827480668257,6.554582526634789,1148,2009,0.34111064391330775,0.34111064391330775,0.541038525963149,0.4184190299675577,0.1374837413072584,0.1374837413072584,0.16074450084602368,0.14820699214342256,0.41483048808954875,0.41483048808954875,0.5695652173913044,0.48003666780291604
Train 65ft Full Res (v73),65ft,Full Res,73,Test 100ft Full Res (v74),100ft,Full Res,74,0.1365737168521949,0.036077387769153396,0.1365737168521949,0.256883226201408,5.937761928954179,444,1275,0.16871696891405763,0.16871696891405763,0.3111111111111111,0.21878554360302543,0.011163051364372945,0.011163051364372945,0.02203856749311295,0.01481961840347738,0.22984113027815414,0.22984113027815414,0.4375,0.3013615973431158
Train 100ft Full Res (v74),100ft,Full Res,74,Test 39ft Full Res (v72),39ft,Full Res,72,0.01297578896921388,0.004245417091344302,0.01297578896921388,0.027253668763102725,7.929375692572378,178,986,0.03892736690764164,0.03892736690764164,0.08176100628930817,0.05274312025679592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Train 100ft Full Res (v74),100ft,Full Res,74,Test 65ft Full Res (v73),65ft,Full Res,73,0.1484958533061593,0.04291054037496348,0.1484958533061593,0.24869963984073484,6.8793795367286865,742,2009,0.3024700025377281,0.3024700025377281,0.4020100502512563,0.34520773281883627,0.006854531607006854,0.006854531607006854,0.009306260575296108,0.007894422072485148,0.136163025773743,0.136163025773743,0.3347826086956522,0.1935892792712123
Train 100ft Full Res (v74),100ft,Full Res,74,Test 100ft Full Res (v74),100ft,Full Res,74,0.2279613402919261,0.05901946852428534,0.2279613402919261,0.3524402271877019,5.793524044420981,512,1275,0.3700865589807844,0.3700865589807844,0.528395061728395,0.4352941800259643,0.017241205827899862,0.017241205827899862,0.028925619834710745,0.02160480206780714,0.29655625606709407,0.29655625606709407,0.5,0.3722979435643465
Train ALL Altitudes Full Res (v1),39+65+100ft,Full Res,1,Test 39ft Full Res (v72),39ft,Full Res,72,0.337451997656901,0.11527005200123318,0.337451997656901,0.5078761811959135,6.30152275945607,1067,986,0.545497785700801,0.545497785700801,0.7012578616352201,0.613648089815617,0.28057746667121775,0.28057746667121775,0.391713747645951,0.3269596527047248,0.1862807405986841,0.1862807405986841,0.4306569343065693,0.26006871011373034
Train ALL Altitudes Full Res (v1),39+65+100ft,Full Res,1,Test 65ft Full Res (v73),65ft,Full Res,73,0.4765889003793142,0.1623297260404876,0.4765889003793142,0.5952031547422982,6.045671562871422,1565,2009,0.7540258184586691,0.7540258184586691,0.8123953098827471,0.7821230540920128,0.28756803889458155,0.28756803889458155,0.3688663282571912,0.32318285555771414,0.3881728437846917,0.3881728437846917,0.6043478260869565,0.4727184458891064
Train ALL Altitudes Full Res (v1),39+65+100ft,Full Res,1,Test 100ft Full Res (v74),100ft,Full Res,74,0.3782493758741192,0.10885040857299345,0.3782493758741192,0.5112301465836819,5.251180365764819,885,1275,0.5372592931610254,0.5372592931610254,0.6691358024691358,0.5959895386934058,0.17897108837778075,0.17897108837778075,0.2534435261707989,0.20979431404483473,0.4185177460835514,0.4185177460835514,0.6111111111111112,0.49680201373859245
