Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth,Pole AP50,Pole Precision,Pole Recall,Pole F1,Trunk AP50,Trunk Precision,Trunk Recall,Trunk F1,Vine Row AP50,Vine Row Precision,Vine Row Recall,Vine Row F1
Aug+Mar+Jul Full Res (v1),Test: August Dataset (v6),0.500297615405182,0.16644811994897357,0.500297615405182,0.6154945200907643,11.653743717838136,1180,1401,0.6118946412515928,0.6118946412515928,0.7101449275362319,0.6573689410368317,0.4154637651978378,0.4154637651978378,0.47737909516380655,0.4442746313122945,0.47353443976611564,0.47353443976611564,0.6589595375722543,0.5510670108571957
Aug+Mar+Jul Full Res (v1),Test: July Dataset (v14),0.43526533240682985,0.18812182418162662,0.43526533240682985,0.5450837295175172,20.4284341955473,960,1287,0.7076370381725227,0.7076370381725227,0.7560975609756098,0.7310650973607293,0.19066266000741006,0.19066266000741006,0.26677577741407527,0.22238699324886818,0.40749629904055695,0.40749629904055695,0.6123778501628665,0.4893578443000762
Aug+Mar+Jul Full Res (v1),Test: March Dataset (v10),0.31670246480899955,0.09257487377334021,0.31670246480899955,0.4534455971319315,19.97950714425034,1495,2118,0.5998485897410005,0.5998485897410005,0.7293497363796133,0.6582906436124748,0.18908958693263275,0.18908958693263275,0.275,0.22409309698225258,0.16116921775336543,0.16116921775336543,0.3559870550161812,0.2218832419068387
Aug+Mar+Jul 2x2 (v2),Test: August Dataset (v6),0.5758892715242806,0.20422692773707693,0.5758892715242806,0.6720576404525561,20.063816805030488,1276,1401,0.6569823771945152,0.6569823771945152,0.7463768115942029,0.6988323671964036,0.4403501826049724,0.4403501826049724,0.5039001560062403,0.4699866479018217,0.6303352547733545,0.6303352547733545,0.7658959537572254,0.6915347804745312
Aug+Mar+Jul 2x2 (v2),Test: July Dataset (v14),0.463459135386455,0.20638577958287002,0.463459135386455,0.584037397103563,20.194114972962623,1065,1287,0.7650587113645279,0.7650587113645279,0.8075880758807588,0.7857483290687893,0.21327008302807138,0.21327008302807138,0.31260229132569556,0.2535547401885264,0.41204861176676594,0.41204861176676594,0.6319218241042345,0.4988311956363614
Aug+Mar+Jul 2x2 (v2),Test: March Dataset (v10),0.32737766169745924,0.09895713675183829,0.32737766169745924,0.4772784888198549,19.78544860221865,1458,2118,0.5822143154900634,0.5822143154900634,0.7223198594024605,0.6447434963388823,0.1905552424149261,0.1905552424149261,0.25967741935483873,0.21981032384606408,0.20936342718738823,0.20936342718738823,0.44983818770226536,0.28573857384398255
Aug+Mar+Jul 4x4 (v3),Test: August Dataset (v6),0.49730199662117763,0.16818977643618213,0.49730199662117763,0.5897390926214245,19.991027907823106,1063,1401,0.6015568903547136,0.6015568903547136,0.6811594202898551,0.6388881770739798,0.3337166204606306,0.3337166204606306,0.3712948517940718,0.3515042464170962,0.5566324790481884,0.5566324790481884,0.7167630057803468,0.626629469871676
Aug+Mar+Jul 4x4 (v3),Test: July Dataset (v14),0.40706097116061496,0.17403650344073662,0.40706097116061496,0.5041849408242293,20.166948216341513,808,1287,0.7119030241724521,0.7119030241724521,0.7479674796747967,0.7294897860596135,0.12221375172261648,0.12221375172261648,0.15220949263502456,0.1355722849663508,0.38706613758677627,0.38706613758677627,0.6123778501628665,0.4743251890282214
Aug+Mar+Jul 4x4 (v3),Test: March Dataset (v10),0.30984955180919327,0.08518552965586612,0.30984955180919327,0.44695149691893993,20.060997019859986,1211,2118,0.5584631183800765,0.5584631183800765,0.6942003514938488,0.6189775664405999,0.14577795467714996,0.14577795467714996,0.18387096774193548,0.16262351719658286,0.22530758237035334,0.22530758237035334,0.4627831715210356,0.30306629451831657
Aug+Mar+Jul 6x6 (v4),Test: August Dataset (v6),0.37340343205709725,0.1167024837443596,0.37340343205709725,0.5303448640696179,19.67887365079594,1201,1401,0.6017785298804171,0.6017785298804171,0.6932367149758454,0.6442780853033083,0.25282638455412865,0.25282638455412865,0.2995319812792512,0.2742045475165738,0.26560538173674625,0.26560538173674625,0.5982658959537572,0.3678849980976072
Aug+Mar+Jul 6x6 (v4),Test: July Dataset (v14),0.3253214196302338,0.13291433229059457,0.3253214196302338,0.4537978041745015,19.896200938686672,938,1287,0.6823447297397085,0.6823447297397085,0.7127371273712737,0.6972098734890494,0.07947939955285852,0.07947939955285852,0.09165302782324058,0.0851332237879538,0.21414012959813425,0.21414012959813425,0.5570032573289903,0.3093503795352781
