Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth
Aug+Mar+Jul Full Res (v1),Test: August Dataset (v6),0.500297615405182,0.16644811994897357,0.500297615405182,0.6154945200907643,15.326161319672785,1180,1401
Aug+Mar+Jul Full Res (v1),Test: July Dataset (v14),0.43526533240682985,0.18812182418162662,0.43526533240682985,0.5450837295175172,17.49607909494286,960,1287
Aug+Mar+Jul Full Res (v1),Test: March Dataset (v10),0.31670246480899955,0.09257487377334021,0.31670246480899955,0.4534455971319315,17.0810214883375,1495,2118
Aug+Mar+Jul 2x2 (v2),Test: August Dataset (v6),0.5758892715242806,0.20422692773707693,0.5758892715242806,0.6720576404525561,17.189328304383857,1276,1401
Aug+Mar+Jul 2x2 (v2),Test: July Dataset (v14),0.463459135386455,0.20638577958287002,0.463459135386455,0.584037397103563,17.264320447729236,1065,1287
Aug+Mar+Jul 2x2 (v2),Test: March Dataset (v10),0.32737766169745924,0.09895713675183829,0.32737766169745924,0.4772784888198549,16.837907636722722,1458,2118
Aug+Mar+Jul 4x4 (v3),Test: August Dataset (v6),0.49730199662117763,0.16818977643618213,0.49730199662117763,0.5897390926214245,16.704597534958918,1063,1401
Aug+Mar+Jul 4x4 (v3),Test: July Dataset (v14),0.40706097116061496,0.17403650344073662,0.40706097116061496,0.5041849408242293,16.961841264919286,808,1287
Aug+Mar+Jul 4x4 (v3),Test: March Dataset (v10),0.30984955180919327,0.08518552965586612,0.30984955180919327,0.44695149691893993,16.91280292087326,1211,2118
Aug+Mar+Jul 6x6 (v4),Test: August Dataset (v6),0.37340343205709725,0.1167024837443596,0.37340343205709725,0.5303448640696179,16.80846954821746,1201,1401
Aug+Mar+Jul 6x6 (v4),Test: July Dataset (v14),0.3253214196302338,0.13291433229059457,0.3253214196302338,0.4537978041745015,17.01606000509343,938,1287
Aug+Mar+Jul 6x6 (v4),Test: March Dataset (v10),0.22419171200166788,0.06270739149752191,0.22419171200166788,0.38128825639077085,16.69937959529989,1348,2118
August Full Res (v5),Test: August Dataset (v6),0.5006027871677686,0.1650358688532966,0.5006027871677686,0.6127271529664906,17.1708585453982,1207,1401
August Full Res (v5),Test: July Dataset (v14),0.2709853227043307,0.11494272772701083,0.2709853227043307,0.39181806357159515,17.701522706774995,908,1287
August Full Res (v5),Test: March Dataset (v10),0.025376181331004923,0.00978198119192834,0.025376181331004923,0.05630228733976938,18.433538565917292,411,2118
August 2x2 (v6),Test: August Dataset (v6),0.5633098156396187,0.19681841081683737,0.5633098156396187,0.6700492704860802,17.19279785360332,1238,1401
August 2x2 (v6),Test: July Dataset (v14),0.29248501856800385,0.11999406675627083,0.29248501856800385,0.40230038334296525,17.949030623260292,800,1287
August 2x2 (v6),Test: March Dataset (v10),0.022032036496911704,0.007373472411499841,0.022032036496911704,0.06418040910742982,17.93946594653508,620,2118
August 4x4 (v7),Test: August Dataset (v6),0.43894641557914327,0.1468214699896325,0.43894641557914327,0.5442355445188181,17.38635566386121,1059,1401
August 4x4 (v7),Test: July Dataset (v14),0.23261208979285805,0.10320881198562161,0.23261208979285805,0.3143644776214009,17.97406367505872,661,1287
August 4x4 (v7),Test: March Dataset (v10),0.016752765661987818,0.006292244462699453,0.016752765661987818,0.035632435126316454,18.194542954539056,432,2118
August 6x6 (v8),Test: August Dataset (v6),0.3599449725030577,0.10806640691967406,0.3599449725030577,0.519291078532086,16.85258618230999,1166,1401
